temporada,semana,grupo,eventos,clima,data_especial,interessadasDummie,publico
normal,inicio,desconhecido,nao,nao,sim,muito_bom,muito_bom
normal,final,normal,nao,nao,nao,muito_bom,muito_bom
normal,final,normal,nao,nao,nao,muito_bom,muito_bom
junina,inicio,normal,nao,nao,sim,muito_bom,muito_bom
junina,final,desconhecido,nao,sim,nao,muito_bom,fraco
junina,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,normal,sim,nao,nao,muito_bom,bom
normal,final,normal,nao,nao,nao,muito_bom,muito_bom
normal,final,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,desconhecido,sim,nao,sim,muito_bom,muito_bom
normal,inicio,normal,nao,sim,nao,muito_bom,fraco
normal,meio,normal,nao,nao,nao,muito_bom,bom
normal,inicio,normal,sim,nao,nao,muito_bom,bom
normal,inicio,desconhecido,nao,nao,nao,muito_bom,bom
normal,meio,normal,nao,nao,nao,muito_bom,bom
normal,final,normal,nao,nao,nao,bom,bom
normal,inicio,normal,nao,sim,nao,muito_bom,fraco
normal,meio,normal,nao,sim,nao,normal,muito_fraco
normal,final,normal,sim,nao,nao,muito_bom,bom
ferias,inicio,normal,nao,sim,nao,muito_bom,normal
ferias,inicio,normal,sim,sim,sim,fraco,fraco
ferias,meio,normal,sim,sim,nao,bom,muito_fraco
ferias,final,normal,sim,nao,sim,muito_bom,muito_bom
ferias,inicio,normal,nao,sim,sim,muito_bom,muito_bom
ferias,inicio,desconhecido,sim,nao,nao,normal,fraco
ferias,meio,normal,nao,sim,nao,muito_bom,fraco
ferias,final,normal,sim,sim,sim,muito_bom,muito_bom
ferias,final,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,normal,sim,nao,nao,bom,normal
normal,inicio,normal,nao,sim,nao,muito_bom,fraco
normal,meio,normal,sim,nao,nao,fraco,muito_fraco
normal,final,normal,sim,nao,nao,bom,normal
normal,inicio,normal,nao,nao,nao,normal,normal
normal,meio,normal,sim,nao,nao,muito_bom,normal
normal,final,normal,nao,nao,nao,muito_bom,muito_bom
normal,final,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,normal,sim,nao,nao,normal,fraco
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,meio,desconhecido,sim,nao,nao,bom,muito_fraco
normal,final,normal,nao,nao,nao,muito_bom,muito_bom
junina,inicio,normal,nao,nao,sim,muito_bom,muito_bom
junina,inicio,normal,nao,nao,nao,muito_bom,muito_bom
junina,meio,normal,nao,nao,nao,muito_bom,muito_bom
junina,final,normal,nao,nao,nao,bom,bom
junina,inicio,normal,sim,nao,nao,muito_bom,bom
junina,inicio,desconhecido,nao,nao,nao,muito_fraco,muito_fraco
junina,meio,normal,nao,sim,nao,normal,muito_fraco
junina,final,desconhecido,sim,nao,nao,muito_bom,bom
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,normal,nao,nao,nao,normal,normal
normal,meio,normal,nao,nao,nao,bom,normal
normal,final,normal,sim,nao,nao,muito_bom,bom
normal,inicio,normal,sim,nao,nao,muito_bom,bom
normal,inicio,desconhecido,nao,nao,nao,normal,fraco
normal,meio,normal,sim,nao,nao,muito_bom,normal
normal,final,normal,sim,nao,nao,muito_bom,bom
normal,meio,normal,nao,nao,sim,muito_bom,muito_bom
normal,final,desconhecido,nao,nao,nao,normal,fraco
normal,inicio,normal,sim,nao,nao,muito_bom,bom
normal,meio,desconhecido,nao,nao,nao,bom,fraco
ferias,inicio,normal,nao,nao,nao,muito_bom,muito_bom
ferias,meio,desconhecido,nao,nao,nao,normal,fraco
ferias,final,normal,sim,nao,nao,normal,normal
ferias,final,normal,sim,nao,sim,muito_bom,muito_bom
ferias,inicio,desconhecido,sim,nao,nao,bom,bom
ferias,meio,normal,sim,nao,nao,bom,normal
ferias,final,normal,nao,nao,nao,muito_bom,muito_bom
ferias,inicio,normal,sim,nao,sim,muito_bom,muito_bom
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,meio,normal,nao,sim,nao,muito_bom,muito_fraco
normal,final,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,normal,sim,sim,nao,muito_bom,muito_fraco
normal,inicio,normal,nao,nao,nao,muito_bom,normal
normal,meio,desconhecido,sim,nao,nao,bom,muito_fraco
normal,final,normal,nao,sim,nao,muito_bom,normal
normal,final,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,normal,nao,nao,nao,bom,normal
normal,inicio,normal,nao,nao,nao,bom,normal
normal,meio,normal,nao,nao,nao,muito_bom,bom
normal,final,normal,nao,nao,nao,muito_bom,muito_bom
junina,inicio,normal,nao,nao,sim,muito_bom,muito_bom
junina,inicio,normal,nao,nao,nao,muito_bom,muito_bom
junina,meio,normal,nao,nao,nao,muito_bom,muito_bom
junina,inicio,normal,nao,nao,nao,muito_bom,muito_bom
junina,inicio,normal,nao,nao,nao,muito_bom,muito_bom
junina,meio,normal,nao,nao,nao,muito_bom,muito_bom
junina,final,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,desconhecido,nao,nao,nao,normal,normal
normal,meio,normal,nao,nao,nao,bom,normal
normal,final,normal,nao,nao,nao,bom,bom
normal,inicio,normal,sim,nao,nao,muito_bom,bom
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,meio,normal,sim,nao,nao,muito_bom,normal
normal,final,normal,sim,nao,nao,muito_bom,bom
normal,final,normal,nao,sim,nao,muito_bom,fraco
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,desconhecido,sim,nao,nao,fraco,muito_fraco
normal,meio,normal,nao,nao,sim,muito_bom,muito_bom
normal,final,normal,nao,nao,nao,bom,normal
normal,inicio,normal,sim,nao,nao,muito_bom,bom
normal,inicio,normal,nao,sim,nao,muito_bom,fraco
normal,meio,normal,sim,nao,nao,muito_bom,normal
ferias,inicio,normal,sim,nao,nao,muito_bom,muito_bom
ferias,meio,normal,nao,nao,nao,bom,bom
ferias,final,normal,sim,sim,nao,bom,muito_fraco
ferias,final,normal,sim,nao,sim,muito_bom,muito_bom
ferias,inicio,normal,sim,nao,sim,muito_bom,muito_bom
ferias,inicio,normal,nao,sim,nao,muito_bom,normal
ferias,meio,normal,sim,nao,sim,muito_bom,muito_bom
ferias,final,normal,nao,nao,sim,muito_bom,muito_bom
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,meio,normal,nao,nao,nao,bom,normal
normal,final,bom,nao,nao,nao,muito_bom,muito_bom
normal,final,normal,sim,nao,nao,bom,normal
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,normal,nao,nao,nao,normal,normal
normal,meio,normal,nao,nao,sim,muito_bom,muito_bom
normal,final,bom,sim,nao,nao,muito_bom,muito_bom
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,normal,nao,nao,nao,normal,normal
normal,meio,normal,nao,sim,nao,normal,muito_fraco
normal,final,bom,nao,nao,nao,muito_bom,muito_bom
junina,inicio,normal,sim,nao,sim,muito_bom,muito_bom
junina,meio,normal,nao,nao,nao,muito_bom,muito_bom
junina,final,bom,sim,nao,nao,muito_bom,muito_bom
junina,final,normal,nao,nao,nao,bom,bom
junina,inicio,normal,sim,nao,nao,bom,bom
junina,inicio,bom,nao,nao,nao,muito_bom,muito_bom
junina,meio,normal,sim,nao,nao,bom,normal
junina,final,normal,nao,nao,nao,normal,normal
normal,inicio,normal,sim,nao,nao,muito_bom,bom
normal,inicio,normal,sim,nao,nao,bom,normal
normal,meio,normal,sim,nao,nao,bom,fraco
normal,final,bom,sim,nao,nao,muito_bom,muito_bom
normal,inicio,normal,sim,nao,nao,muito_bom,bom
normal,inicio,normal,sim,nao,nao,muito_bom,bom
normal,meio,bom,nao,nao,nao,muito_bom,muito_bom
normal,final,normal,nao,nao,nao,bom,bom
normal,final,desconhecido,nao,nao,nao,normal,fraco
normal,inicio,normal,sim,sim,nao,muito_bom,muito_fraco
normal,inicio,normal,sim,sim,nao,bom,muito_fraco
normal,meio,normal,nao,nao,nao,bom,normal
normal,final,normal,nao,sim,nao,bom,muito_fraco
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom
normal,inicio,desconhecido,nao,nao,nao,normal,fraco
normal,meio,normal,sim,nao,nao,muito_bom,normal
normal,final,normal,nao,nao,sim,muito_bom,muito_bom
ferias,inicio,normal,nao,nao,nao,muito_bom,muito_bom
ferias,inicio,normal,nao,nao,nao,normal,normal
ferias,meio,bom,nao,nao,nao,muito_bom,muito_bom
ferias,final,normal,sim,nao,nao,bom,bom
ferias,final,normal,nao,nao,sim,muito_bom,muito_bom
ferias,inicio,normal,nao,sim,sim,muito_bom,muito_bom
ferias,inicio,normal,nao,nao,nao,muito_bom,muito_bom
ferias,meio,normal,nao,sim,nao,muito_bom,fraco
ferias,final,desconhecido,nao,nao,nao,bom,bom
normal,inicio,bom,nao,nao,sim,muito_bom,muito_bom
normal,inicio,desconhecido,nao,nao,nao,muito_bom,bom
normal,meio,normal,nao,sim,nao,muito_bom,fraco
normal,final,normal,nao,nao,nao,bom,bom